NOG	EC	# Members assigned to this EC	# EC assigned proteins	# NOG members
ENOG410YD1T	2.3.1.-	1	1	684
ENOG410YD23	2.7.11.1	38	38	90
ENOG410YD5W	2.1.1.243	3	3	11
ENOG410YD63	3.1.1.74	1	1	11
ENOG410YD9N	3.-.-.-	53	53	222
ENOG410YD9T	2.4.2.30	1	1	2
ENOG410YDA4	2.8.2.17	25	25	72
ENOG410YDA6	4.2.3.25	8	8	44
ENOG410YDBA	1.11.1.7	11	11	61
ENOG410YDDQ	2.4.2.-	1	1	2
ENOG410YDEI	3.2.1.35	2	2	3
ENOG410YDGS	2.4.1.207	12	12	33
ENOG410YDHB	2.1.1.77	1	1	31
ENOG410YDHQ	3.4.22.70	1	1	2
ENOG410YDI1	3.1.1.20	2	2	2
ENOG410YDI3	1.17.4.2	4	6	11
ENOG410YDIK	4.2.1.-	1	1	7
ENOG410YDJP	3.2.1.18	2	2	37
ENOG410YDJW	3.2.1.166	35	50	237
ENOG410YDK7	3.2.1.4	1	1	7
ENOG410YDKH	4.3.2.2	1	1	57
ENOG410YDMV	2.7.11.-	17	17	38
ENOG410YDNH	6.3.2.19	79	79	203
ENOG410YDP5	2.7.1.48	2	2	2
ENOG410YDPJ	3.1.26.5	3	3	64
ENOG410YDQ0	1.14.11.21	1	1	34
ENOG410YDQ9	3.1.1.4	1	1	215
ENOG410YDQM	2.7.11.17	1	1	6
ENOG410YDR9	3.1.3.16	5	5	12
ENOG410YDRD	2.7.11.1	13	13	33
ENOG410YDSR	3.1.3.16	2	2	2
ENOG410YDST	2.7.1.130	1	1	3
ENOG410YDSX	3.1.1.-	55	55	417
ENOG410YDTD	1.11.1.7	10	10	69
ENOG410YDU7	1.11.1.7	21	21	43
ENOG410YDUA	2.3.1.180	2	2	2
ENOG410YDVX	6.3.4.9	3	3	3
ENOG410YDVX	6.3.4.11	3	3	3
ENOG410YDVX	6.3.4.15	3	3	3
ENOG410YDVX	6.3.4.10	3	3	3
ENOG410YDW3	1.11.1.7	1	1	6
ENOG410YE1K	3.4.21.92	1	1	4
ENOG410YE24	3.1.1.61	1	1	4
ENOG410YE3S	2.7.11.20	35	37	160
ENOG410YE6A	2.3.1.210	6	6	7
ENOG410YE6P	2.7.11.1	24	25	83
ENOG410YE7F	1.11.1.7	10	10	23
ENOG410YE88	3.1.1.73	1	1	10
ENOG410YE8F	3.1.21.4	1	1	6
ENOG410YE9E	3.1.3.4	1	1	6
ENOG410YEAG	2.7.11.1	11	11	31
ENOG410YECP	1.11.1.7	5	5	14
ENOG410YEEQ	1.1.1.100	3	3	9
ENOG410YEG6	3.1.3.1	82	82	137
ENOG410YEGF	2.7.3.-	1	1	4
ENOG410YEGN	1.11.1.7	12	12	25
ENOG410YEHW	1.17.1.3	6	6	16
ENOG410YEK3	4.1.2.-	7	7	17
ENOG410YEP7	5.2.1.8	1	1	4
ENOG410YEQZ	1.14.11.2	13	13	28
ENOG410YES6	1.1.1.133	1	1	3
ENOG410YETI	2.4.1.-	2	2	3
ENOG410YETZ	1.11.1.7	13	13	49
ENOG410YEUK	5.5.1.6	8	8	24
ENOG410YEUT	6.3.2.19	1	1	2
ENOG410YEV4	2.4.1.-	2	2	3
ENOG410YEWW	1.14.-.-	1	1	3
ENOG410YEXC	1.11.1.7	2	2	8
ENOG410YF10	3.2.1.8	1	1	6
ENOG410YF49	2.1.1.64	1	2	142
ENOG410YF49	2.1.1.-	1	2	142
ENOG410YF49	2.1.1.222	1	2	142
ENOG410YF4C	1.11.1.7	9	9	21
ENOG410YF4M	6.3.2.19	72	72	170
ENOG410YF4P	4.1.2.25	1	1	6
ENOG410YF5T	3.1.3.16	1	1	4
ENOG410YF62	1.14.13.7	2	2	3
ENOG410YF6X	1.5.1.7	13	13	83
ENOG410YF7K	3.4.24.84	1	1	3
ENOG410YF8G	1.11.1.7	9	9	20
ENOG410YF8M	1.1.1.102	82	83	320
ENOG410YF98	4.2.3.15	3	5	62
ENOG410YFAM	5.3.3.8	5	6	209
ENOG410YFAT	3.1.13.4	1	1	5
ENOG410YFB5	1.11.1.7	7	7	18
ENOG410YFBY	1.11.1.7	6	6	13
ENOG410YFCK	1.14.11.-	1	1	24
ENOG410YFCK	2.1.1.229	1	1	24
ENOG410YFEH	1.-.-.-	8	8	233
ENOG410YFES	1.-.-.-	1	1	7
ENOG410YFI3	2.1.1.141	5	5	14
ENOG410YFIV	4.2.1.80	1	1	5
ENOG410YFJN	3.1.3.1	33	33	60
ENOG410YFNG	2.1.1.-	1	1	7
ENOG410YFNJ	1.14.19.2	2	2	2
ENOG410YFPN	3.1.21.4	2	2	29
ENOG410YFQE	3.4.13.21	19	19	29
ENOG410YFQJ	4.2.1.57	2	2	2
ENOG410YFQZ	2.7.11.1	11	11	37
ENOG410YFRS	3.1.3.7	2	2	3
ENOG410YFUF	4.2.1.17	2	2	2
ENOG410YFVF	2.7.7.7	89	89	180
ENOG410YFXY	2.1.1.72	2	2	5
ENOG410YFY9	1.11.1.20	25	25	169
ENOG410YFYD	2.1.1.-	2	2	2
ENOG410YFYD	3.4.23.43	2	2	2
ENOG410YFZF	2.7.1.43	1	1	28
ENOG410YG00	3.6.3.17	2	2	4
ENOG410YG15	4.1.1.55	37	37	70
ENOG410YG28	3.6.3.17	2	2	2
ENOG410YG4B	6.3.2.19	41	41	98
ENOG410YG59	1.11.1.7	10	10	24
ENOG410YG63	3.2.1.101	11	11	19
ENOG410YG82	2.7.13.3	2	2	4
ENOG410YG91	4.2.2.3	1	1	3
ENOG410YGAZ	3.1.-.-	1	1	346
ENOG410YGB8	1.-.-.-	2	2	58
ENOG410YGBQ	4.1.1.37	27	27	70
ENOG410YGGJ	2.5.1.80	2	2	10
ENOG410YGK0	2.7.7.6	1	1	28
ENOG410YGKQ	2.7.10.1	119	119	361
ENOG410YGPC	4.2.1.84	61	61	82
ENOG410YGQ7	6.3.5.7	6	6	21
ENOG410YGQ7	6.3.5.6	6	6	21
ENOG410YGRC	3.1.-.-	5	5	5
ENOG410YGRJ	2.1.1.37	1	1	7
ENOG410YGTP	2.3.1.-	1	1	2
ENOG410YGVU	3.5.1.28	3	3	3
ENOG410YGWX	3.1.3.2	6	6	99
ENOG410YGX6	2.5.1.-	1	1	5
ENOG410YGXE	2.4.1.256	105	105	201
ENOG410YGZ8	2.7.11.1	35	35	82
ENOG410YH0C	2.3.1.9	1	1	5
ENOG410YH3J	3.1.26.4	3	3	26
ENOG410YH5S	2.4.2.46	2	2	2
ENOG410YH65	2.7.6.2	2	2	5
ENOG410YH6C	3.2.1.8	73	73	159
ENOG410YH7U	3.6.3.14	3	3	16
ENOG410YH81	2.3.1.20	1	1	29
ENOG410YH82	3.4.22.37	1	1	16
ENOG410YH86	2.7.1.71	3	3	3
ENOG410YHG9	2.7.7.7	2	2	3
ENOG410YHHF	2.7.11.17	162	170	500
ENOG410YHIH	1.11.1.7	6	6	24
ENOG410YHJG	2.7.8.26	3	3	3
ENOG410YHM8	2.4.1.68	47	47	186
ENOG410YHQ3	2.7.1.151	24	24	58
ENOG410YHQJ	4.1.1.4	5	5	36
ENOG410YHQU	3.1.11.2	102	102	182
ENOG410YHRW	2.5.1.18	2	2	2
ENOG410YHV6	2.7.10.1	1	1	2
ENOG410YI10	3.4.22.70	1	1	5
ENOG410YI3M	5.3.3.18	1	1	5
ENOG410YI3Y	3.1.1.74	2	2	18
ENOG410YI58	2.4.2.30	24	24	56
ENOG410YI76	2.8.1.-	1	1	4
ENOG410YIER	2.7.3.-	1	1	4
ENOG410YIF1	4.2.1.129	8	8	20
ENOG410YIF1	5.4.99.17	8	8	20
ENOG410YIFR	3.1.-.-	1	1	18
ENOG410YIGC	3.1.1.74	1	1	21
ENOG410YIGY	4.2.2.3	3	3	19
ENOG410YIKI	3.6.5.-	202	202	417
ENOG410YIKR	2.1.1.37	1	1	2
ENOG410YIKU	3.5.99.5	1	1	14
ENOG410YIPC	3.1.1.3	1	1	258
ENOG410YIR2	2.5.1.32	1	1	2
ENOG410YIS4	3.6.4.13	1	1	75
ENOG410YIVE	6.3.2.19	2	2	4
ENOG410YIYE	2.3.2.5	51	51	262
ENOG410YIYQ	1.13.11.4	1	1	5
ENOG410YJ0N	2.1.1.37	2	2	6
ENOG410YJ0R	2.1.1.45	11	11	11
ENOG410YJ34	1.1.1.100	1	1	2
ENOG410YJ3R	2.5.1.18	69	69	106
ENOG410YJ4G	3.-.-.-	1	1	58
ENOG410YJ5S	2.7.8.5	3	3	4
ENOG410YJ5Y	6.3.2.19	1	1	2
ENOG410YJBN	3.1.3.2	1	1	4
ENOG410YJDJ	2.7.7.7	5	5	15
ENOG410YJS7	3.2.1.14	2	2	16
ENOG410YJTD	3.4.21.89	6	6	8
ENOG410YK1Q	2.4.1.50	1	1	3
ENOG410YK1Q	2.4.1.66	1	1	3
ENOG410YK1Q	1.14.11.4	1	1	3
ENOG410YK2C	2.3.1.15	35	35	51
ENOG410YK2J	6.3.5.4	1	1	2
ENOG410YK38	4.2.1.17	1	1	4
ENOG410YK50	2.3.1.180	6	6	6
ENOG410YK57	6.3.2.19	1	1	341
ENOG410YK6B	2.7.7.7	6	6	6
ENOG410YK7T	6.3.5.7	5	5	186
ENOG410YK7T	6.3.5.6	5	5	186
ENOG410YK8T	3.1.26.5	3	3	3
ENOG410YK9D	2.7.1.-	1	1	8
ENOG410YKB1	6.3.5.5	10	10	18
ENOG410YKCM	2.7.11.1	133	134	231
ENOG410YKKM	3.1.1.4	10	10	39
ENOG410YKQ5	1.3.5.3	1	1	2
ENOG410YKRJ	2.7.11.1	1	1	3
ENOG410YKTJ	1.2.1.70	1	1	3
ENOG410YKVT	2.4.2.-	32	32	49
ENOG410YKX2	2.7.11.25	63	63	181
ENOG410YKYQ	2.4.1.-	9	9	38
ENOG410YKZ5	2.7.4.-	1	1	8
ENOG410YM20	6.2.1.30	1	1	3
ENOG410YM8X	1.14.19.2	13	13	21
ENOG410YMAS	2.4.1.-	32	32	99
ENOG410YMD4	6.3.5.4	3	3	7
ENOG410YMIS	3.4.22.-	1	1	2
ENOG410YMNS	2.6.1.99	16	16	39
ENOG410YMTX	3.6.1.-	37	50	205
ENOG410YMUK	3.4.21.88	1	1	4
ENOG410YMV7	2.7.3.-	1	1	9
ENOG410YMVJ	4.2.1.75	7	7	7
ENOG410YMXM	3.1.3.3	1	1	5
ENOG410YMXX	5.3.3.10	2	2	2
ENOG410YMYW	2.7.11.1	2	2	25
ENOG410YMZ6	2.5.1.18	1	1	64
ENOG410YN06	2.7.11.1	106	106	232
ENOG410YN11	2.7.1.15	4	4	4
ENOG410YN17	1.8.5.2	2	2	2
ENOG410YN1B	2.7.8.5	1	1	3
ENOG410YN1N	3.1.1.61	2	2	4
ENOG410YN91	3.1.3.2	1	1	156
ENOG410YN9D	6.3.2.19	2	2	6
ENOG410YNC1	5.1.1.-	1	1	85
ENOG410YNDI	3.4.23.43	3	3	4
ENOG410YNEE	2.7.7.7	5	5	5
ENOG410YNEJ	1.14.11.-	48	48	185
ENOG410YNEJ	1.14.11.27	48	48	185
ENOG410YNEY	3.6.4.12	1	1	2
ENOG410YNGH	5.5.1.9	20	20	38
ENOG410YNI2	2.1.1.-	1	1	10
ENOG410YNJD	3.1.-.-	2	2	221
ENOG410YNMB	1.1.1.69	1	1	5
ENOG410YNMM	3.1.2.15	1	1	5
ENOG410YNPM	3.4.23.36	12	12	15
ENOG410YNR5	2.7.8.-	1	1	2
ENOG410YNSF	2.7.7.7	1	1	2
ENOG410YNWB	2.3.1.180	3	3	5
ENOG410YNWP	1.3.7.7	1	1	7
ENOG410YNY4	3.4.21.-	1	1	5
ENOG410YP23	1.6.5.3	22	22	30
ENOG410YP3D	2.7.4.3	1	1	2
ENOG410YP60	1.6.5.3	2	2	2
ENOG410YP62	2.4.1.-	1	1	3
ENOG410YP69	2.1.2.10	1	1	3
ENOG410YP6Z	3.4.24.14	1	1	5
ENOG410YP7P	2.7.1.89	1	1	14
ENOG410YP8U	3.4.13.21	6	6	10
ENOG410YPA1	2.4.99.13	4	4	5
ENOG410YPA1	2.4.99.15	4	4	5
ENOG410YPA1	2.4.99.14	4	4	5
ENOG410YPA1	2.4.99.12	4	4	5
ENOG410YPD6	4.4.1.5	1	1	2
ENOG410YPEC	2.7.1.107	1	1	2
ENOG410YPF9	6.3.2.19	1	1	2
ENOG410YPIY	1.97.1.4	7	7	7
ENOG410YPM5	3.1.3.86	1	1	2
ENOG410YPNM	6.3.2.19	1	1	522
ENOG410YPRA	3.4.24.-	1	1	2
ENOG410YPTI	2.4.1.143	1	1	4
ENOG410YPUY	1.8.4.8	2	2	3
ENOG410YPVA	3.4.22.-	106	106	205
ENOG410YPZF	1.7.1.14	1	1	25
ENOG410YQ07	2.4.1.141	2	2	22
ENOG410YQ45	2.1.1.211	102	102	175
ENOG410YQ5A	4.2.2.3	3	5	23
ENOG410YQ7G	6.3.2.19	2	2	4
ENOG410YQA9	2.4.1.221	10	10	29
ENOG410YQDT	1.97.1.11	1	1	3
ENOG410YQED	3.5.1.28	1	1	13
ENOG410YQH3	3.1.3.86	1	1	2
ENOG410YQKN	4.2.1.59	3	3	3
ENOG410YQKP	2.4.1.144	84	84	183
ENOG410YQQ0	3.6.1.-	5	5	6
ENOG410YQTP	6.3.2.19	1	1	2
ENOG410YQWW	3.1.11.5	1	1	18
ENOG410YQZG	3.4.23.36	4	4	4
ENOG410YR0H	2.7.1.-	1	1	16
ENOG410YR3I	4.4.1.5	1	1	4
ENOG410YR3P	3.5.2.10	1	1	4
ENOG410YR3Z	3.5.1.26	1	1	147
ENOG410YR5A	2.7.4.9	1	1	5
ENOG410YR7W	1.1.99.21	1	1	7
ENOG410YR9E	2.4.2.-	49	49	69
ENOG410YRGU	3.4.24.79	22	24	56
ENOG410YRH3	1.14.12.12	2	4	6
ENOG410YRJG	2.4.1.122	63	78	640
ENOG410YRK1	5.1.1.13	3	3	3
ENOG410YRM8	1.1.1.122	1	1	3
ENOG410YRQ8	3.5.1.28	1	1	3
ENOG410YRTA	2.3.1.118	2	2	3
ENOG410YRTC	6.1.1.11	2	2	4
ENOG410YRUT	3.3.2.8	1	1	4
ENOG410YRWJ	1.14.-.-	1	1	8
ENOG410YRXX	2.1.1.-	1	1	12
ENOG410YRY5	2.7.7.7	1	1	3
ENOG410YS4Y	3.6.1.26	1	1	3
ENOG410YS4Z	1.1.99.3	3	3	3
ENOG410YS50	3.1.1.3	4	4	24
ENOG410YS9X	2.7.3.-	2	2	99
ENOG410YSG1	1.5.99.11	1	1	22
ENOG410YSJQ	1.3.1.71	1	1	2
ENOG410YSJY	1.14.18.2	23	23	59
ENOG410YSKJ	2.7.7.-	41	41	99
ENOG410YSMF	6.3.5.7	4	4	6
ENOG410YSMF	6.3.5.6	4	4	6
ENOG410YSPQ	2.7.11.1	3	3	9
ENOG410YSVE	3.1.26.3	1	1	4
ENOG410YSY6	3.1.1.-	1	1	16
ENOG410YSZS	3.1.1.61	1	1	4
ENOG410YT29	3.1.26.3	7	7	24
ENOG410YT4R	3.1.3.16	1	1	21
ENOG410YT4R	3.1.3.67	1	1	21
ENOG410YT4R	3.1.3.48	1	1	21
ENOG410YT60	1.5.3.14	18	18	52
ENOG410YT6N	2.7.11.17	1	1	128
ENOG410YT7G	3.1.26.5	22	22	28
ENOG410YT81	3.6.1.-	1	1	2
ENOG410YTAE	4.2.1.59	1	1	2
ENOG410YTCY	4.1.2.4	5	5	5
ENOG410YTE7	3.4.19.6	1	1	4
ENOG410YTFI	1.14.13.107	18	18	44
ENOG410YTG3	3.1.3.16	4	4	8
ENOG410YTGT	2.3.1.48	26	26	51
ENOG410YTH4	3.1.21.4	25	25	70
ENOG410YTJ0	6.5.1.-	1	1	3
ENOG410YTM1	3.1.1.3	3	3	79
ENOG410YTM8	3.1.11.6	2	2	3
ENOG410YTMJ	3.1.21.4	13	13	33
ENOG410YTMR	2.1.1.-	1	1	7
ENOG410YTMS	1.6.99.3	1	1	2
ENOG410YTMS	1.6.5.3	1	1	2
ENOG410YTQR	3.6.4.12	1	1	3
ENOG410YTWI	3.1.26.5	2	2	2
ENOG410YU0K	2.7.3.-	2	2	12
ENOG410YU2D	2.3.1.183	1	1	2
ENOG410YU64	1.6.5.3	8	8	8
ENOG410YU6C	2.7.1.3	4	6	99
ENOG410YU6P	3.1.3.48	27	27	64
ENOG410YU9G	2.7.7.1	3	3	4
ENOG410YU9G	3.6.1.-	2	3	4
ENOG410YUAM	3.1.3.48	11	11	22
ENOG410YUB3	1.5.3.1	3	3	7
ENOG410YUBH	5.3.2.-	2	2	3
ENOG410YUJ4	3.1.1.5	1	1	2
ENOG410YUJ4	3.1.2.-	1	1	2
ENOG410YUKM	3.2.1.3	1	1	4
ENOG410YUPB	4.1.99.11	4	4	4
ENOG410YUPU	3.6.3.14	1	1	2
ENOG410YUQU	1.5.1.3	1	1	8
ENOG410YUQU	2.1.1.45	1	1	8
ENOG410YUXN	3.5.1.28	1	1	2
ENOG410YUZS	2.5.1.91	1	1	2
ENOG410YV27	3.1.1.3	1	2	31
ENOG410YV27	3.1.1.-	1	2	31
ENOG410YV3E	2.7.7.6	1	1	2
ENOG410YV48	3.6.3.14	1	1	2
ENOG410YV5H	2.3.1.15	18	18	38
ENOG410YV83	3.1.3.66	65	65	220
ENOG410YVB7	3.1.22.-	1	1	6
ENOG410YVBF	3.1.1.4	13	13	39
ENOG410YVF6	3.4.11.-	1	1	313
ENOG410YVG1	3.1.-.-	1	1	2
ENOG410YVKA	3.4.24.59	1	1	2
ENOG410YVM7	3.1.27.-	12	12	14
ENOG410YVNZ	3.1.3.16	1	1	200
ENOG410YVQN	6.3.2.19	1	1	5
ENOG410YVR2	2.3.1.-	1	1	4
ENOG410YVU0	5.-.-.-	1	1	6
ENOG410YVV8	3.1.26.5	21	21	37
ENOG410YVX0	3.1.4.50	5	5	9
ENOG410YVX6	2.3.2.8	1	1	2
ENOG410YVZC	1.6.99.3	9	9	44
ENOG410YVZC	1.6.5.3	9	9	44
ENOG410YW2B	2.1.1.-	5	5	6
ENOG410YW2B	3.4.23.43	5	5	6
ENOG410YW9I	5.1.1.13	1	1	2
ENOG410YWB5	2.1.2.9	3	3	3
ENOG410YWCK	3.7.1.17	2	3	50
ENOG410YWCR	3.6.3.14	4	4	4
ENOG410YWCW	2.7.3.-	4	4	12
ENOG410YWIM	2.7.11.1	1	1	2
ENOG410YWMB	2.7.3.-	5	5	16
ENOG410YWN1	1.6.5.3	7	7	17
ENOG410YWQK	3.6.3.14	1	1	3
ENOG410YWR3	1.6.5.3	2	2	3
ENOG410YWTW	3.1.11.2	1	1	2
ENOG410YWU1	3.1.3.-	1	1	7
ENOG410YWUQ	3.4.23.43	2	2	2
ENOG410YWWZ	1.1.1.-	1	1	7
ENOG410YX01	3.6.4.12	1	1	7
ENOG410YX03	3.1.2.15	1	1	2
ENOG410YX0M	2.7.6.1	1	1	3
ENOG410YX19	1.1.1.30	1	1	5
ENOG410YX4T	3.2.1.24	3	3	7
ENOG410YX87	5.2.1.8	2	2	3
ENOG410YX8I	5.2.1.8	1	1	3
ENOG410YX8U	1.14.12.1	5	5	6
ENOG410YX91	4.1.1.19	2	2	2
ENOG410YXB3	2.1.1.-	1	1	3
ENOG410YXB3	3.4.23.43	1	1	3
ENOG410YXM7	1.6.5.3	2	2	3
ENOG410YXRA	4.99.1.4	2	2	3
ENOG410YXRA	1.3.1.76	2	2	3
ENOG410YXRK	2.1.1.255	8	8	19
ENOG410YXTU	3.2.1.8	1	1	3
ENOG410YXUR	6.3.3.2	1	1	2
ENOG410YXVE	1.14.13.149	1	1	2
ENOG410YXZD	3.6.3.14	2	2	2
ENOG410YXZT	2.7.1.68	1	1	2
ENOG410YY0D	1.6.5.3	1	1	2
ENOG410YY0T	4.2.1.59	3	3	3
ENOG410YY5R	3.4.24.-	1	1	95
ENOG410YY75	3.4.11.-	1	1	2
ENOG410YY8D	3.2.1.81	1	1	11
ENOG410YY8I	2.-.-.-	4	4	4
ENOG410YYAH	5.4.99.9	1	1	29
ENOG410YYAT	1.14.18.1	3	3	28
ENOG410YYC6	4.1.1.44	2	2	2
ENOG410YYDS	2.2.1.6	1	1	3
ENOG410YYEJ	3.1.4.12	45	45	95
ENOG410YYHD	3.5.1.24	1	1	3
ENOG410YYJH	2.3.1.183	2	2	6
ENOG410YYKU	3.4.23.43	3	3	6
ENOG410YYPB	3.1.4.12	65	75	319
ENOG410YYT7	3.1.4.17	1	1	10
ENOG410YYWI	3.6.3.14	2	2	2
ENOG410YYYX	1.5.3.1	1	1	2
ENOG410YZ1N	6.3.4.15	1	1	3
ENOG410YZC6	3.1.21.3	1	1	4
ENOG410YZGU	2.1.1.-	1	1	2
ENOG410YZRQ	2.1.1.228	1	2	71
ENOG410YZRQ	1.3.5.1	1	2	71
ENOG410YZRZ	3.2.1.81	2	2	11
ENOG410YZV1	3.6.5.-	1	1	38
ENOG410YZXI	3.1.21.3	1	1	3
ENOG410Z00J	3.6.4.12	16	16	21
ENOG410Z067	3.1.26.3	1	1	2
ENOG410Z077	1.6.5.3	6	6	8
ENOG410Z0AN	6.3.2.19	138	138	266
ENOG410Z0CT	3.1.-.-	2	2	4
ENOG410Z0G4	5.2.1.8	167	167	393
ENOG410Z0JD	3.1.3.57	2	2	8
ENOG410Z0N0	3.1.3.48	1	1	30
ENOG410Z0NI	3.1.2.-	1	1	3
ENOG410Z0SK	6.6.1.2	2	2	24
ENOG410Z0TP	2.4.1.133	42	42	88
ENOG410Z0TT	5.1.99.1	1	1	2
ENOG410Z0YV	6.3.2.19	23	23	54
ENOG410Z1BM	6.3.5.5	1	1	2
ENOG410Z1EM	1.16.3.1	1	1	3
ENOG410Z1GR	3.1.3.-	12	12	31
ENOG410Z1I6	2.7.7.7	2	2	2
ENOG410Z1IC	3.6.3.14	15	15	24
ENOG410Z1JI	3.6.3.14	3	3	3
ENOG410Z1PB	2.7.3.-	1	1	40
ENOG410Z1RR	2.7.11.1	1	1	75
ENOG410Z1TA	2.1.1.64	3	3	74
ENOG410Z1TA	2.1.1.222	3	3	74
ENOG410Z1TJ	2.1.1.-	2	2	2
ENOG410Z1TJ	3.4.23.43	2	2	2
ENOG410Z20C	3.4.23.43	2	2	2
ENOG410Z20X	3.1.26.5	1	1	83
ENOG410Z23Y	2.1.1.163	15	18	50
ENOG410Z23Y	2.1.1.201	15	18	50
ENOG410Z260	6.3.5.7	3	3	3
ENOG410Z260	6.3.5.6	3	3	3
ENOG410Z28G	2.7.1.39	1	1	3
ENOG410Z28M	1.1.5.3	8	8	9
ENOG410Z29I	4.1.99.11	4	4	4
ENOG410Z2AB	3.4.24.-	4	4	14
ENOG410Z2AM	1.6.99.-	3	3	14
ENOG410Z2NG	6.3.2.19	2	2	9
ENOG410Z2NM	6.1.1.16	2	2	3
ENOG410Z2Q5	6.1.1.13	5	5	5
ENOG410Z2TG	2.5.1.91	1	1	2
ENOG410Z2U7	4.2.1.2	1	1	9
ENOG410Z2UE	3.4.24.80	1	1	732
ENOG410Z2XQ	3.1.-.-	1	1	2
ENOG410Z2YW	6.3.2.19	1	1	4
ENOG410Z30Q	4.6.1.14	2	2	279
ENOG410Z31R	1.3.99.23	1	1	2
ENOG410Z328	3.6.4.-	3	3	24
ENOG410Z32W	6.3.2.4	1	1	2
ENOG410Z337	3.4.21.-	1	1	6
ENOG410Z33Z	2.3.1.-	1	1	19
ENOG410Z33Z	2.3.1.64	1	1	19
ENOG410Z35I	2.7.1.69	4	4	7
ENOG410Z35N	4.1.2.-	1	1	2
ENOG410Z3AR	3.1.21.4	1	1	3
ENOG410Z3C5	2.5.1.-	2	2	3
ENOG410Z3FZ	2.3.1.199	46	46	402
ENOG410Z3HK	2.7.2.8	3	3	3
ENOG410Z3IN	3.4.23.43	4	4	4
ENOG410Z3NZ	3.1.3.16	1	1	6
ENOG410Z3QR	1.14.19.1	1	1	3
ENOG410Z3QU	2.3.1.51	5	5	104
ENOG410Z3TV	3.-.-.-	1	1	69
ENOG410Z3V6	2.4.2.8	1	1	2
ENOG410Z3ZB	6.3.2.19	2	2	3
ENOG410Z40H	6.1.1.16	1	1	108
ENOG410Z41A	1.3.99.-	2	2	6
ENOG410Z421	6.3.2.19	22	22	47
ENOG410Z42N	3.4.23.43	2	2	3
ENOG410Z43M	5.2.1.8	1	1	2
ENOG410Z43Q	6.3.2.19	20	20	57
ENOG410Z45J	6.3.2.19	2	2	4
ENOG410Z46N	3.2.1.17	3	3	3
ENOG410Z481	2.7.1.48	1	1	2
ENOG410Z4AT	3.6.3.14	2	2	2
ENOG410Z4BN	2.7.7.6	1	1	3
ENOG410Z4D2	6.3.2.19	9	9	21
ENOG410Z4DB	1.4.9.1	28	28	42
ENOG410Z4DP	3.1.3.16	1	1	3
ENOG410Z4EP	1.1.1.-	1	1	23
ENOG410Z4HE	3.1.3.5	1	1	2
ENOG410Z4MV	3.1.21.-	32	47	160
ENOG410Z4YC	3.1.11.6	4	4	4
ENOG410Z519	3.6.3.14	3	3	6
ENOG410Z52Y	2.7.7.7	2	2	5
ENOG410Z53B	1.8.4.11	1	1	14
ENOG410Z57H	2.4.2.46	32	32	48
ENOG410Z57Q	2.1.1.-	9	9	20
ENOG410Z5C6	4.1.1.39	1	1	2
ENOG410Z5C8	3.4.21.-	1	1	3
ENOG410Z5DF	6.3.2.19	117	117	514
ENOG410Z5EG	5.3.2.-	1	1	3
ENOG410Z5F6	3.1.26.4	1	1	2
ENOG410Z5G7	3.4.13.21	1	1	2
ENOG410Z5M9	6.3.2.19	11	11	46
ENOG410Z5PG	2.7.11.1	1	1	7
ENOG410Z5VM	2.7.8.7	21	22	43
ENOG410Z5Y5	1.6.5.3	2	2	2
ENOG410Z615	3.4.24.-	30	30	115
ENOG410Z62T	5.3.4.1	3	3	3
ENOG410Z62V	2.7.8.1	1	1	3
ENOG410Z64H	3.6.3.14	2	2	2
ENOG410Z68H	3.1.26.4	1	1	2
ENOG410Z6A9	2.4.1.16	1	1	2
ENOG410Z6H8	2.1.1.225	88	88	173
ENOG410Z6JS	3.6.3.14	1	1	28
ENOG410Z6PD	6.5.1.-	1	1	3
ENOG410Z6TK	2.3.1.-	1	1	9
ENOG410Z6VM	3.2.1.22	5	5	12
ENOG410Z6W9	1.8.1.9	1	1	2
ENOG410Z74P	6.3.2.9	8	8	10
ENOG410Z7HG	2.4.1.-	1	1	11
ENOG410Z7J9	2.7.1.147	45	45	118
ENOG410Z7K4	3.1.1.4	23	23	49
ENOG410Z7NT	2.7.13.3	4	4	47
ENOG410Z7P2	2.4.1.-	2	2	553
ENOG410Z7UF	2.7.1.6	1	1	2
ENOG410Z7YX	6.3.2.19	17	17	592
ENOG410Z7ZM	3.6.3.14	4	4	4
ENOG410Z80E	2.3.1.31	1	1	2
ENOG410Z835	3.1.3.48	1	1	2
ENOG410Z8AY	2.1.1.148	2	2	2
ENOG410Z8CW	2.3.1.181	7	7	8
ENOG410Z8FE	4.2.1.17	1	1	38
ENOG410Z8G7	2.7.13.3	1	1	7
ENOG410Z8GY	2.7.8.-	1	1	2
ENOG410Z8I9	2.4.2.-	17	17	23
ENOG410Z8KS	2.3.1.48	1	1	3
ENOG410Z8N0	3.4.11.9	1	1	223
ENOG410Z8SP	2.7.4.16	5	5	6
ENOG410Z8WA	1.3.99.-	1	1	3
ENOG410Z8YZ	6.5.1.1	1	1	3
ENOG410Z913	3.1.3.2	1	1	431
ENOG410Z92F	5.3.3.4	1	1	4
ENOG410Z96K	5.1.3.2	3	3	56
ENOG410Z97X	3.11.1.2	1	1	12
ENOG410Z98P	1.5.1.7	1	1	18
ENOG410Z99T	3.6.3.14	7	7	8
ENOG410Z9A5	2.7.11.1	2	2	4
