contig	cov_mean_sample_Sample118	cov_mean_sample_Sample120	cov_mean_sample_Sample127	cov_mean_sample_Sample134	cov_mean_sample_Sample177	cov_mean_sample_Sample215	cov_mean_sample_Sample230	cov_mean_sample_Sample234	cov_mean_sample_Sample244	cov_mean_sample_Sample261	cov_mean_sample_Sample263	cov_mean_sample_Sample290	cov_mean_sample_Sample302	cov_mean_sample_Sample321	cov_mean_sample_Sample330	cov_mean_sample_Sample343
NODE_494_length_527700_cov_6.812331.8	1.786900	0.070000	1.019400	0.020000	6.645600	5.852700	0.428400	2.007400	0	2.617900	5.277500	1.297600	0	0.340000	0.229300	0
NODE_494_length_527700_cov_6.812331.9	1.948100	0.009800	0.710000	0.060000	6.276800	5.804900	0.440000	2.219800	0	2.847600	4.745700	1.469300	0	0.410000	0.260000	0
NODE_96_length_1344_cov_16.811756	4.164074	7.560821	7.412306	0	0	0	7.463235	0	8.166902	2.969593	0.636492	2.404527	8.974540	8.060115	5.637199	4.087693
NODE_505_length_906976_cov_6.853119.81	1.640000	0.100000	0.600000	0.108700	5.736600	6.577000	0.380000	2.059900	0	3.018900	5.943500	1.588600	0	0.250000	0.210000	0.040000
NODE_2_length_16156_cov_8.219856	1.545114	4.323432	2.912856	0	0	0	3.922715	0	4.290770	0.992173	0.388265	1.182792	4.050168	5.099648	2.813631	1.411069
NODE_390_length_121514_cov_8.358864.3	1.789100	4.037300	3.315500	0.140000	0	0	4.347700	0	4.395100	0.929700	0.339700	1.279300	3.928900	4.805300	2.658000	1.327100
NODE_401_length_1196_cov_6.761706	0.947867	4.412325	2.669826	0	0	0	2.679305	0	2.132700	1.026856	0.157978	1.026856	2.203000	2.685623	1.725908	1.816747
NODE_309_length_63619_cov_8.319213.5	1.985536	3.941486	3.205276	0	0	0	4.241805	0	4.983560	0.926511	0.379867	1.117685	4.045437	4.918181	3.013368	1.793994
NODE_258_length_263280_cov_8.177872.12	1.870000	4.185600	2.990000	0	0	0	3.558300	0	4.165800	1.149700	0.309800	1.210000	3.966400	4.788900	2.956500	1.836700
NODE_58_length_571_cov_3.173380	0.312012	0.780031	0.624024	0	0	0	0.928237	0	0.156006	2.332294	0.468018	0.312012	0	0	0.468019	2.808110
NODE_309_length_63619_cov_8.319213.1	1.880000	3.963700	2.997000	0	0	0	3.668100	0	4.329400	1.059000	0.228800	0.978500	3.717200	4.895500	2.935200	1.819000
